Datetime,Bedroom temperature,Bedroom humidity,Kitchen temperature,Kitchen humidity,Basement temperature,Basement humidity,Garage temperature,Garage humidity
2022_01_22_00:00,21.93,21.38,21.40,20.26,19.62,18.25,0.72,30.44
2022_01_22_00:01,21.89,21.33,21.38,20.33,19.63,18.35,0.71,30.49
2022_01_22_00:02,21.85,21.27,21.39,20.25,19.61,18.30,0.72,30.45
2022_01_22_00:03,21.84,21.33,21.39,20.27,19.60,18.32,0.72,30.40
2022_01_22_00:04,21.84,21.36,21.37,20.29,19.59,18.27,0.71,30.40
2022_01_22_00:05,21.80,21.34,21.36,20.20,19.58,18.26,0.68,30.44
2022_01_22_00:06,21.75,21.33,21.34,20.19,19.57,18.25,0.68,30.40
2022_01_22_00:07,21.73,21.40,21.32,20.21,19.56,18.26,0.67,30.43
2022_01_22_00:08,21.72,21.34,21.33,20.14,19.55,18.16,0.67,30.38
2022_01_22_00:09,21.67,21.40,21.31,20.12,19.53,18.18,0.68,30.28
2022_01_22_00:10,21.65,21.36,21.30,20.11,19.53,18.16,0.67,30.42
2022_01_22_00:11,21.61,21.39,21.28,20.13,19.51,18.15,0.65,30.49
2022_01_22_00:12,21.60,21.38,21.27,20.06,19.50,18.20,0.66,30.41
2022_01_22_00:13,21.60,21.38,21.27,20.11,19.48,18.18,0.65,30.38
2022_01_22_00:14,21.58,21.39,21.27,20.05,19.46,18.12,0.65,30.43
2022_01_22_00:15,21.55,21.40,21.25,20.11,19.46,18.12,0.63,30.35
2022_01_22_00:16,21.53,21.40,21.24,20.12,19.43,18.04,0.61,30.18
2022_01_22_00:17,21.50,21.44,21.20,20.07,19.43,18.13,0.63,30.32
2022_01_22_00:18,21.49,21.46,21.21,19.97,19.43,18.12,0.61,30.35
2022_01_22_00:19,21.46,21.43,21.21,19.96,19.40,18.13,0.61,30.36
2022_01_22_00:20,21.43,21.44,21.21,19.96,19.40,18.16,0.58,30.28
2022_01_22_00:21,21.43,21.43,21.18,19.95,19.38,18.13,0.57,30.30
2022_01_22_00:22,21.40,21.40,21.18,19.95,19.37,18.06,0.58,30.20
2022_01_22_00:23,21.40,21.44,21.15,19.88,19.34,18.10,0.58,30.16
2022_01_22_00:24,21.39,21.44,21.15,19.88,19.35,18.06,0.57,30.20
2022_01_22_00:25,21.37,21.36,21.14,19.83,19.34,18.06,0.57,30.26
2022_01_22_00:26,21.35,21.44,21.13,19.91,19.32,18.13,0.55,30.17
2022_01_22_00:27,21.34,21.42,21.10,19.85,19.30,18.00,0.57,30.11
2022_01_22_00:28,21.31,21.48,21.10,19.85,19.30,18.12,0.56,30.25
2022_01_22_00:29,21.31,21.43,21.11,19.86,19.29,18.03,0.54,30.23
2022_01_22_00:30,21.29,21.47,21.08,19.85,19.28,18.12,0.51,30.23
2022_01_22_00:31,21.25,21.18,21.07,19.76,19.26,18.06,0.53,30.19
2022_01_22_00:32,21.24,21.49,21.07,19.77,19.24,18.04,0.53,30.16
2022_01_22_00:33,21.22,21.23,21.05,19.85,19.23,18.13,0.49,30.25
2022_01_22_00:34,21.21,21.50,21.07,19.81,19.22,18.08,0.51,30.15
2022_01_22_00:35,21.23,21.36,21.08,19.95,19.23,18.09,0.49,30.00
2022_01_22_00:36,21.22,21.22,21.09,20.04,19.21,18.06,0.50,30.10
2022_01_22_00:37,21.26,21.25,21.10,19.98,19.21,18.08,0.47,29.99
2022_01_22_00:38,21.29,21.47,21.12,20.04,19.20,18.41,0.48,30.03
2022_01_22_00:39,21.35,21.20,21.12,20.02,19.20,18.20,0.47,30.03
2022_01_22_00:40,21.39,21.20,21.15,20.00,19.21,18.02,0.48,30.01
2022_01_22_00:41,21.45,21.16,21.15,19.91,19.25,18.04,0.46,29.97
2022_01_22_00:42,21.49,21.26,21.18,20.00,19.25,18.13,0.46,30.09
2022_01_22_00:43,21.54,21.35,21.19,19.98,19.23,18.14,0.46,30.06
2022_01_22_00:44,21.61,21.06,21.20,19.97,19.25,18.14,0.44,29.97
2022_01_22_00:45,21.69,21.07,21.21,19.97,19.26,18.09,0.43,30.02
2022_01_22_00:46,21.77,21.01,21.24,19.87,19.28,18.14,0.44,30.06
2022_01_22_00:47,21.81,21.00,21.24,19.94,19.29,18.14,0.43,30.10
2022_01_22_00:48,21.89,20.97,21.25,19.89,19.30,18.15,0.41,30.12
